intent,example_question,response,category,tags,source
poi_best_time,Tell me about Allama Iqbal Airport poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Allama_Iqbal_Airport,generated/poi_specific
nearby_restaurants,What are the nearby restaurants for Allama Iqbal Airport?,Several restaurants and cafes are located near Allama Iqbal Airport; use mapping apps or ask locals for current top picks.,poi,Allama_Iqbal_Airport,generated/poi_specific
poi_hours,What are the poi hours for MM Alam Road?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,MM_Alam_Road,generated/poi_specific
parking_nearby,How to find parking nearby at Wagah Border?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Wagah_Border,generated/poi_specific
poi_entry_fee,Tell me about Lahore Fort poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Lahore_Fort,generated/poi_specific
poi_best_time,What are the poi best time for Lahore Fort?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Lahore_Fort,generated/poi_specific
events_and_festivals,How to get to events and festivals?,"Major events: Basant (color festival - historically), cultural festivals, Lahore Literary Festival, and seasonal food festivals. Check current year schedules.",events,"events,and,festivals",generated/authoritative_general
restaurants_best,Where is restaurants best?,"Lahore is famous for food: try Anarkali, Gawalmandi Food Street, MM Alam Road for restaurants, and old-city eateries near Walled City for traditional Lahori cuisine.",restaurants,"restaurants,best",generated/authoritative_general
poi_best_time,Tell me about Gaddafi Stadium poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Gaddafi_Stadium,generated/poi_specific
local_customs,Tell me about the local customs in Lahore.,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
poi_hours,Tell me about Emporium Mall poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Emporium_Mall,generated/poi_specific
poi_hours,How to find poi hours at Gaddafi Stadium?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Gaddafi_Stadium,generated/poi_specific
best_neighborhoods_to_stay,Where is best neighborhoods to stay?,"Popular neighborhoods: Gulberg (modern, malls), Liberty/Anarkali (shopping, food), Old City (heritage), DHA (upscale). Choose based on your priorities.",best,"best,neighborhoods,to",generated/authoritative_general
poi_entry_fee,How to find poi entry fee at Packages Mall?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Packages_Mall,generated/poi_specific
museums_and_galleries,Where is museums and galleries?,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Ichhra Bazaar?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Ichhra_Bazaar,generated/poi_specific
poi_hours,What are the poi hours for Walled City?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Walled_City,generated/poi_specific
shopping_spots,Tell me about the shopping spots in Lahore.,"Shopping: Liberty Market, Anarkali Bazaar, Fortress Stadium, Mall Road for souvenirs, and modern malls like Packages Mall and Emporium Mall.",shopping,"shopping,spots",generated/authoritative_general
parking_nearby,What are the parking nearby for Walled City?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Walled_City,generated/poi_specific
poi_best_time,Tell me about Mall Road poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Mall_Road,generated/poi_specific
events_and_festivals,Tell me about the events and festivals in Lahore.,"Major events: Basant (color festival - historically), cultural festivals, Lahore Literary Festival, and seasonal food festivals. Check current year schedules.",events,"events,and,festivals",generated/authoritative_general
nearby_restaurants,How to find nearby restaurants at Badshahi Mosque?,Several restaurants and cafes are located near Badshahi Mosque; use mapping apps or ask locals for current top picks.,poi,Badshahi_Mosque,generated/poi_specific
photography_policies,How to get to photography policies?,Some heritage sites restrict photography or require a fee for professional photography. Always check onsite rules.,photography,"photography,policies",generated/authoritative_general
can_i_use_credit_cards,Give me info about can i use credit cards.,"Major hotels, restaurants, and malls accept credit/debit cards. Smaller shops and street vendors may prefer cash.",travel_faq,"safety,food,services",generated/traveler_faqs
nearby_restaurants,Tell me about Fort Road Food Street nearby restaurants.,Several restaurants and cafes are located near Fort Road Food Street; use mapping apps or ask locals for current top picks.,poi,Fort_Road_Food_Street,generated/poi_specific
parking_nearby,Tell me about Data Darbar parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Data_Darbar,generated/poi_specific
parking_nearby,What are the parking nearby for Packages Mall?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Packages_Mall,generated/poi_specific
top_attractions_city,Tell me about the top attractions city in Lahore.,"Top attractions in Lahore include the Lahore Fort, Badshahi Mosque, Shalimar Gardens, Minar-e-Pakistan, Walled City (Purani Lahore), and Lahore Museum.",top,"top,attractions,city",generated/authoritative_general
poi_best_time,How to find poi best time at Wagah Border?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Wagah_Border,generated/poi_specific
poi_best_time,How to find poi best time at Badshahi Mosque?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Badshahi_Mosque,generated/poi_specific
photography_policies,Are there any photography policies in Lahore?,Some heritage sites restrict photography or require a fee for professional photography. Always check onsite rules.,photography,"photography,policies",generated/authoritative_general
museums_and_galleries,Tell me about the museums and galleries in Lahore.,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
historical_places_list,Where is historical places list?,"Key historical places: Lahore Fort (Shahi Qila), Badshahi Mosque, Wazir Khan Mosque, Shalimar Gardens, Jahangir's Tomb, Hazuri Bagh, and the Walled City landmarks.",historical,"historical,places,list",generated/authoritative_general
best_food_in_lahore,I want to know best food in lahore please.,"Must-try dishes: Nihari, Paye, Lahori Chargha, Biryani, Samosas, and sweets like Jalebi and Falooda. Visit Gawalmandi and Fort Road Food Street for authentic local flavors.",travel_faq,"safety,food,services",generated/traveler_faqs
accessibility_info,Tell me about the accessibility info in Lahore.,Some older historical sites have limited accessibility for wheelchairs due to heritage structures. Newer museums and hotels often provide accessible options.,accessibility,"accessibility,info",generated/authoritative_general
goodbye,see you,Goodbye! Have a great trip to Lahore.,smalltalk,goodbye,generated/smalltalk
where_to_buy_sim,I want to know where to buy sim please.,SIM cards are sold at the airport and telecom shops; bring your passport for registration.,travel_faq,"safety,food,services",generated/traveler_faqs
parking_info,parking info,Parking is available at major sites but limited near old-city attractions; use public transport or paid parking lots to avoid congestion.,parking,"parking,info",generated/authoritative_general
parking_nearby,How to find parking nearby at Ichhra Bazaar?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Ichhra_Bazaar,generated/poi_specific
poi_best_time,What are the poi best time for Jilani Park?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Jilani_Park,generated/poi_specific
visa_entry_requirements,Are there any visa entry requirements in Lahore?,Check Pakistan's official visa portal for requirements. Many nationalities require e-visa or visa on arrival depending on agreements�confirm before travel.,visa,"visa,entry,requirements",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Gaddafi Stadium?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gaddafi_Stadium,generated/poi_specific
how_to_reach_city,Tell me about the how to reach city in Lahore.,"Lahore is accessible by air (Allama Iqbal Intl Airport), by train (Pakistan Railways), long-distance buses, and highways from Islamabad/Rawalpindi (M-2).",how,"how,to,reach",generated/authoritative_general
connectivity_internet,What is the connectivity internet in Lahore?,Mobile internet is widely available (4G). Major Pakistani telecoms operate in Lahore; buy a local SIM at the airport or markets if needed.,connectivity,"connectivity,internet",generated/authoritative_general
best_neighborhoods_to_stay,Tell me about the best neighborhoods to stay in Lahore.,"Popular neighborhoods: Gulberg (modern, malls), Liberty/Anarkali (shopping, food), Old City (heritage), DHA (upscale). Choose based on your priorities.",best,"best,neighborhoods,to",generated/authoritative_general
train_info,Are there any train info in Lahore?,Pakistan Railways operates trains to Lahore from many cities; check the official Pakistan Railways website or app for schedules and bookings.,train,"train,info",generated/authoritative_general
restaurants_best,Are there any restaurants best in Lahore?,"Lahore is famous for food: try Anarkali, Gawalmandi Food Street, MM Alam Road for restaurants, and old-city eateries near Walled City for traditional Lahori cuisine.",restaurants,"restaurants,best",generated/authoritative_general
poi_hours,Tell me about Wagah Border poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Wagah_Border,generated/poi_specific
photography_policies,What is the photography policies in Lahore?,Some heritage sites restrict photography or require a fee for professional photography. Always check onsite rules.,photography,"photography,policies",generated/authoritative_general
parking_nearby,Tell me about MM Alam Road parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,MM_Alam_Road,generated/poi_specific
poi_entry_fee,Tell me about Gulberg poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gulberg,generated/poi_specific
night_curfew_or_restrictions,Tell me about the night curfew or restrictions in Lahore.,There is no general night curfew in Lahore; local events or security advisories may impose temporary restrictions�check local news.,night,"night,curfew,or",generated/authoritative_general
parking_nearby,What are the parking nearby for Allama Iqbal Airport?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Allama_Iqbal_Airport,generated/poi_specific
cheap_hotels,How to get to cheap hotels?,"Affordable options in Lahore include budget guesthouses and 2-3 star hotels near Anarkali, Liberty Market, and around Mall Road. Use Booking/Agoda to compare rates and read reviews.",cheap,"cheap,hotels",generated/authoritative_general
poi_best_time,What are the poi best time for Minar-e-Pakistan?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Minar-e-Pakistan,generated/poi_specific
nearby_restaurants,How to find nearby restaurants at Allama Iqbal Airport?,Several restaurants and cafes are located near Allama Iqbal Airport; use mapping apps or ask locals for current top picks.,poi,Allama_Iqbal_Airport,generated/poi_specific
shopping_spots,Are there any shopping spots in Lahore?,"Shopping: Liberty Market, Anarkali Bazaar, Fortress Stadium, Mall Road for souvenirs, and modern malls like Packages Mall and Emporium Mall.",shopping,"shopping,spots",generated/authoritative_general
pet_friendly_policies,How to get to pet friendly policies?,Many hotels do not allow pets; some private accommodations may. Check property policy before booking.,pet,"pet,friendly,policies",generated/authoritative_general
parking_nearby,Tell me about Fort Road Food Street parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Fort_Road_Food_Street,generated/poi_specific
poi_best_time,What are the poi best time for Mall Road?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Mall_Road,generated/poi_specific
parking_nearby,What are the parking nearby for Ichhra Bazaar?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Ichhra_Bazaar,generated/poi_specific
parking_nearby,What are the parking nearby for Liberty Market?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Liberty_Market,generated/poi_specific
tour_guides_and_tours,tour guides and tours,Licensed tour guides operate in the Walled City and major attractions. Guided walking tours of the Walled City and food tours are popular.,tour,"tour,guides,and",generated/authoritative_general
safety_tips,Tell me about the safety tips in Lahore.,"General safety tips: keep valuables secure, avoid isolated areas at night, use reputable transport, and follow local advice. Emergency numbers: 15 (police), 1122 (ambulance/rescue).",safety,"safety,tips",generated/authoritative_general
water_and_food_safety,water and food safety,Use bottled or filtered water; street food is delicious but choose busy stalls with high turnover for hygiene.,water,"water,and,food",generated/authoritative_general
shopping_spots,Where is shopping spots?,"Shopping: Liberty Market, Anarkali Bazaar, Fortress Stadium, Mall Road for souvenirs, and modern malls like Packages Mall and Emporium Mall.",shopping,"shopping,spots",generated/authoritative_general
visa_on_arrival_info,Are there any visa on arrival info in Lahore?,Visa-on-arrival rules change often�always verify on Pakistan's official e-visa portal before travel.,visa,"visa,on,arrival",generated/authoritative_general
poi_best_time,Tell me about Shalimar Gardens poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Shalimar_Gardens,generated/poi_specific
poi_best_time,What are the poi best time for Emporium Mall?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Emporium_Mall,generated/poi_specific
safety_tips,safety tips,"General safety tips: keep valuables secure, avoid isolated areas at night, use reputable transport, and follow local advice. Emergency numbers: 15 (police), 1122 (ambulance/rescue).",safety,"safety,tips",generated/authoritative_general
do_hotels_offer_airport_pickup,Give me info about do hotels offer airport pickup.,Many hotels offer airport pickup for a fee; check with your hotel before arrival.,travel_faq,"safety,food,services",generated/traveler_faqs
airport_info,How to get to airport info?,Allama Iqbal International Airport (LHE) handles domestic and international flights. Allow extra time for immigration and security checks.,airport,"airport,info",generated/authoritative_general
historical_places_list,Tell me about the historical places list in Lahore.,"Key historical places: Lahore Fort (Shahi Qila), Badshahi Mosque, Wazir Khan Mosque, Shalimar Gardens, Jahangir's Tomb, Hazuri Bagh, and the Walled City landmarks.",historical,"historical,places,list",generated/authoritative_general
greeting,hey there,Hello! I'm your Lahore travel assistant. How can I help you today?,smalltalk,greeting,generated/smalltalk
nearby_restaurants,How to find nearby restaurants at Anarkali?,Several restaurants and cafes are located near Anarkali; use mapping apps or ask locals for current top picks.,poi,Anarkali,generated/poi_specific
parking_nearby,Tell me about Anarkali parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Anarkali,generated/poi_specific
family_activities,Are there any family activities in Lahore?,"Family-friendly activities include boat rides at Jilani Park, pony rides in Model Town (seasonal), visiting family-friendly restaurants, and parks like Bagh-e-Jinnah.",family,"family,activities",generated/authoritative_general
poi_entry_fee,How to find poi entry fee at Allama Iqbal Airport?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Allama_Iqbal_Airport,generated/poi_specific
nearby_restaurants,How to find nearby restaurants at Wagah Border?,Several restaurants and cafes are located near Wagah Border; use mapping apps or ask locals for current top picks.,poi,Wagah_Border,generated/poi_specific
poi_entry_fee,How to find poi entry fee at Liberty Market?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Liberty_Market,generated/poi_specific
nearby_restaurants,Tell me about Ichhra Bazaar nearby restaurants.,Several restaurants and cafes are located near Ichhra Bazaar; use mapping apps or ask locals for current top picks.,poi,Ichhra_Bazaar,generated/poi_specific
local_customs,local customs,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
poi_hours,How to find poi hours at Badshahi Mosque?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Badshahi_Mosque,generated/poi_specific
poi_best_time,Tell me about Anarkali poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Anarkali,generated/poi_specific
best_time_to_visit,How to get to best time to visit?,"The best time to visit Lahore is from October to March for pleasant weather; avoid extreme summer heat. For festivals and cultural events, check local calendars.",best,"best,time,to",generated/authoritative_general
museums_and_galleries,museums and galleries,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
tipping_culture,tipping culture,Tipping is appreciated in restaurants (5-10%) and for guides/porters depending on service.,tipping,"tipping,culture",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Anarkali?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Anarkali,generated/poi_specific
nearby_restaurants,What are the nearby restaurants for Fort Road Food Street?,Several restaurants and cafes are located near Fort Road Food Street; use mapping apps or ask locals for current top picks.,poi,Fort_Road_Food_Street,generated/poi_specific
parking_nearby,Tell me about Emporium Mall parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Emporium_Mall,generated/poi_specific
safety_tips,What is the safety tips in Lahore?,"General safety tips: keep valuables secure, avoid isolated areas at night, use reputable transport, and follow local advice. Emergency numbers: 15 (police), 1122 (ambulance/rescue).",safety,"safety,tips",generated/authoritative_general
poi_entry_fee,Tell me about Gaddafi Stadium poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gaddafi_Stadium,generated/poi_specific
poi_hours,How to find poi hours at Liberty Market?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Liberty_Market,generated/poi_specific
nearby_restaurants,Tell me about Wagah Border nearby restaurants.,Several restaurants and cafes are located near Wagah Border; use mapping apps or ask locals for current top picks.,poi,Wagah_Border,generated/poi_specific
parking_nearby,How to find parking nearby at Gaddafi Stadium?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Gaddafi_Stadium,generated/poi_specific
poi_hours,Tell me about Shalimar Gardens poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Shalimar_Gardens,generated/poi_specific
poi_entry_fee,What are the poi entry fee for Gulberg?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gulberg,generated/poi_specific
poi_entry_fee,How to find poi entry fee at Gulberg?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gulberg,generated/poi_specific
water_and_food_safety,Are there any water and food safety in Lahore?,Use bottled or filtered water; street food is delicious but choose busy stalls with high turnover for hygiene.,water,"water,and,food",generated/authoritative_general
pet_friendly_policies,Are there any pet friendly policies in Lahore?,Many hotels do not allow pets; some private accommodations may. Check property policy before booking.,pet,"pet,friendly,policies",generated/authoritative_general
how_to_reach_city,What is the how to reach city in Lahore?,"Lahore is accessible by air (Allama Iqbal Intl Airport), by train (Pakistan Railways), long-distance buses, and highways from Islamabad/Rawalpindi (M-2).",how,"how,to,reach",generated/authoritative_general
train_info,train info,Pakistan Railways operates trains to Lahore from many cities; check the official Pakistan Railways website or app for schedules and bookings.,train,"train,info",generated/authoritative_general
nearby_restaurants,How to find nearby restaurants at Minar-e-Pakistan?,Several restaurants and cafes are located near Minar-e-Pakistan; use mapping apps or ask locals for current top picks.,poi,Minar-e-Pakistan,generated/poi_specific
poi_entry_fee,What are the poi entry fee for Wagah Border?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Wagah_Border,generated/poi_specific
poi_hours,How to find poi hours at Data Darbar?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Data_Darbar,generated/poi_specific
poi_hours,How to find poi hours at Gulberg?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Gulberg,generated/poi_specific
museums_and_galleries,How to get to museums and galleries?,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
poi_best_time,How to find poi best time at Lahore Fort?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Lahore_Fort,generated/poi_specific
poi_entry_fee,What are the poi entry fee for Data Darbar?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Data_Darbar,generated/poi_specific
nearby_restaurants,Tell me about MM Alam Road nearby restaurants.,Several restaurants and cafes are located near MM Alam Road; use mapping apps or ask locals for current top picks.,poi,MM_Alam_Road,generated/poi_specific
accessibility_info,accessibility info,Some older historical sites have limited accessibility for wheelchairs due to heritage structures. Newer museums and hotels often provide accessible options.,accessibility,"accessibility,info",generated/authoritative_general
poi_best_time,How to find poi best time at Minar-e-Pakistan?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Minar-e-Pakistan,generated/poi_specific
nearby_restaurants,What are the nearby restaurants for Data Darbar?,Several restaurants and cafes are located near Data Darbar; use mapping apps or ask locals for current top picks.,poi,Data_Darbar,generated/poi_specific
transport_from_islamabad,Give me info about transport from islamabad.,Drive via M-2 motorway (approx 4 hours) or take intercity buses; train services also connect Islamabad/Rawalpindi to Lahore.,travel_faq,"safety,food,services",generated/traveler_faqs
restaurants_best,Tell me about the restaurants best in Lahore.,"Lahore is famous for food: try Anarkali, Gawalmandi Food Street, MM Alam Road for restaurants, and old-city eateries near Walled City for traditional Lahori cuisine.",restaurants,"restaurants,best",generated/authoritative_general
poi_best_time,Tell me about Jilani Park poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Jilani_Park,generated/poi_specific
poi_hours,Tell me about Data Darbar poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Data_Darbar,generated/poi_specific
where_to_buy_sim,where to buy sim in Lahore?,SIM cards are sold at the airport and telecom shops; bring your passport for registration.,travel_faq,"safety,food,services",generated/traveler_faqs
poi_best_time,How to find poi best time at Liberty Market?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Liberty_Market,generated/poi_specific
nearby_restaurants,Tell me about Anarkali nearby restaurants.,Several restaurants and cafes are located near Anarkali; use mapping apps or ask locals for current top picks.,poi,Anarkali,generated/poi_specific
poi_hours,What are the poi hours for Lahore Fort?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Lahore_Fort,generated/poi_specific
best_food_in_lahore,best food in lahore in Lahore?,"Must-try dishes: Nihari, Paye, Lahori Chargha, Biryani, Samosas, and sweets like Jalebi and Falooda. Visit Gawalmandi and Fort Road Food Street for authentic local flavors.",travel_faq,"safety,food,services",generated/traveler_faqs
tour_guides_and_tours,What is the tour guides and tours in Lahore?,Licensed tour guides operate in the Walled City and major attractions. Guided walking tours of the Walled City and food tours are popular.,tour,"tour,guides,and",generated/authoritative_general
poi_entry_fee,Tell me about Allama Iqbal Airport poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Allama_Iqbal_Airport,generated/poi_specific
parking_nearby,What are the parking nearby for Shalimar Gardens?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Shalimar_Gardens,generated/poi_specific
events_and_festivals,Are there any events and festivals in Lahore?,"Major events: Basant (color festival - historically), cultural festivals, Lahore Literary Festival, and seasonal food festivals. Check current year schedules.",events,"events,and,festivals",generated/authoritative_general
connectivity_internet,Where is connectivity internet?,Mobile internet is widely available (4G). Major Pakistani telecoms operate in Lahore; buy a local SIM at the airport or markets if needed.,connectivity,"connectivity,internet",generated/authoritative_general
poi_entry_fee,How to find poi entry fee at MM Alam Road?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,MM_Alam_Road,generated/poi_specific
emergency_numbers,Where is emergency numbers?,"Important numbers: Police 15, Ambulance/Rescue 1122, Fire 16 (confirm locally). Save local embassy numbers if traveling internationally.",emergency,"emergency,numbers",generated/authoritative_general
poi_hours,What are the poi hours for Liberty Market?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Liberty_Market,generated/poi_specific
poi_entry_fee,Tell me about Data Darbar poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Data_Darbar,generated/poi_specific
local_customs,How to get to local customs?,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
parking_nearby,How to find parking nearby at Allama Iqbal Airport?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Allama_Iqbal_Airport,generated/poi_specific
poi_entry_fee,How to find poi entry fee at Bagh-e-Jinnah?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Bagh-e-Jinnah,generated/poi_specific
language_spoken,Where is language spoken?,"Urdu and Punjabi are widely spoken; English is common in hotels, restaurants, and tourist services.",language,"language,spoken",generated/authoritative_general
parking_nearby,Tell me about Allama Iqbal Airport parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Allama_Iqbal_Airport,generated/poi_specific
tipping_culture,How to get to tipping culture?,Tipping is appreciated in restaurants (5-10%) and for guides/porters depending on service.,tipping,"tipping,culture",generated/authoritative_general
poi_hours,Tell me about Bagh-e-Jinnah poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Bagh-e-Jinnah,generated/poi_specific
nearby_restaurants,Tell me about Emporium Mall nearby restaurants.,Several restaurants and cafes are located near Emporium Mall; use mapping apps or ask locals for current top picks.,poi,Emporium_Mall,generated/poi_specific
parking_nearby,What are the parking nearby for Wagah Border?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Wagah_Border,generated/poi_specific
poi_hours,What are the poi hours for Minar-e-Pakistan?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Minar-e-Pakistan,generated/poi_specific
parking_nearby,What are the parking nearby for Anarkali?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Anarkali,generated/poi_specific
poi_hours,Tell me about Minar-e-Pakistan poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Minar-e-Pakistan,generated/poi_specific
poi_best_time,Tell me about Walled City poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Walled_City,generated/poi_specific
visa_entry_requirements,Where is visa entry requirements?,Check Pakistan's official visa portal for requirements. Many nationalities require e-visa or visa on arrival depending on agreements�confirm before travel.,visa,"visa,entry,requirements",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Minar-e-Pakistan?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Minar-e-Pakistan,generated/poi_specific
street_food_spots,Tell me about the street food spots in Lahore.,"Popular street-food spots include Gawalmandi, Anarkali Bazaar, and Fort Road Food Street for local specialties like nihari, paya, chargha, and halwa puri.",street,"street,food,spots",generated/authoritative_general
top_attractions_city,Where is top attractions city?,"Top attractions in Lahore include the Lahore Fort, Badshahi Mosque, Shalimar Gardens, Minar-e-Pakistan, Walled City (Purani Lahore), and Lahore Museum.",top,"top,attractions,city",generated/authoritative_general
parking_nearby,How to find parking nearby at Walled City?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Walled_City,generated/poi_specific
thanks,thank you,You're welcome! Let me know if you need more info.,smalltalk,thanks,generated/smalltalk
parking_nearby,How to find parking nearby at Packages Mall?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Packages_Mall,generated/poi_specific
parking_nearby,How to find parking nearby at Badshahi Mosque?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Badshahi_Mosque,generated/poi_specific
night_curfew_or_restrictions,What is the night curfew or restrictions in Lahore?,There is no general night curfew in Lahore; local events or security advisories may impose temporary restrictions�check local news.,night,"night,curfew,or",generated/authoritative_general
restaurants_best,How to get to restaurants best?,"Lahore is famous for food: try Anarkali, Gawalmandi Food Street, MM Alam Road for restaurants, and old-city eateries near Walled City for traditional Lahori cuisine.",restaurants,"restaurants,best",generated/authoritative_general
