Catag,Name ,Address,Address,,Pro,Mobile No,,Lat,Log
Hotel,Park View Hotel Gulberg Lahore,"66-A-2, Off MM Alam - Ghalib Market Rd, Block A-2 Block A 2 Gulberg III, Lahore, Punjab 54660","Off MM Alam - Ghalib Market Rd, Block A-2 Block A 2 Gulberg III, Lahore",54660,Punjab,3215194360,,31.51265,74.3553199
Hotel,Horizon Hotel,"103-R3, Shaukat Khanum Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54782","Shaukat Khanum Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore",54782,Punjab,3331355558,,31.4500255,74.2718789
Hotel,Hotel Executive Inn,"Plot 17, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54782","Block R3 Block R 3 Phase 2 Johar Town, Lahore",54782,Punjab,3000401872,farooqchaudhry1988@gmail.com,31.4503795,74.2715794
Hotel,Hotel Standard Palace,"Plot 109-R3, near Shaukat Khanum Memorial Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54782","near Shaukat Khanum Memorial Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore",54782,Punjab,3000401872,farooqch96611@gmail.com,31.4503373,74.2713836
Hotel,"Lahore, Punjab 54700","Lahore, Punjab",Lahore,,Punjab,,,31.4325384,74.2987565
Hotel,Second Home Hotel J Town,"23, Block R3 Block R 3 Phase 3 Johar Town, Lahore, Punjab 54000","Block R3 Block R 3 Phase 3 Johar Town, Lahore",54000,Punjab,3224571437,,31.4503891,74.2716116
Hotel,Visit Inn Hotel,"Plot 107 R3, Lahore, 54782",Lahore,,Punjab,3014274946,,31.4499697,74.2714821
Hotel,The Rich Hotel,"332-R, M.A Main Blvd, Block R Phase 2 Johar Town, Lahore, Punjab 54000","M.A Main Blvd, Block R Phase 2 Johar Town, Lahore",54000,Punjab,4235956175,,31.4601843,74.2753807
Hotel,Hotel Days INN 2,"Block-2 Sher Ali Road opposite Expo Center gate, Street No. 7, Lahore",Lahore,,Punjab,3216266655,,31.4601405,74.2604996
Hotel,Royal Hoyel,"110 Expo Center Rd, opp. Expo Gate, Block J Phase 2 Johar Town, Lahore, Punjab 54782","opp. Expo Gate, Block J Phase 2 Johar Town, Lahore",54782,Punjab,3366888013,info@lahore-hotels.co,31.4722186,74.2588025
Hotel,The Residency Hotel,"39-A Zafar Ali Rd, Gulberg V, Lahore, Punjab",Lahore,,Punjab,42111395395,,31.539462,74.350479
Hotel,Shalimar Tower Hotel,"2-A Jail Rd, Main Gulberg, Lahore, Punjab 54000","Main Gulberg, Lahore",54000,Punjab,3134009361,,31.5332928,74.3458615
Hotel,Hotel royal inn,"Mozang Rd, near Safan Wala Chowk, Mozang Chungi, Lahore, Punjab 54000","near Safan Wala Chowk, Mozang Chungi, Lahore",54000,Punjab,3011113866,,31.5579179,74.3168103
Hotel,Shah Taj Hotel,"13 Nicholson Rd, near Haji Camp, Garhi Shahu, Lahore, Punjab 54600","near Haji Camp, Garhi Shahu, Lahore",54600,Punjab,3008450172,Info@tehrangrandhotel.com,31.5703826,74.3313396
Hotel,Gulberg Continental Hotel,"29 S 6, off MM Alam Road, Nabi Pura Block A 1 Gulberg III, Lahore, Punjab 54000","off MM Alam Road, Nabi Pura Block A 1 Gulberg III, Lahore",54000,Punjab,3217777547,,31.5165431,74.3553269
Hotel,New Hajveri Hotel Lahore,"3 Mozang Rd, near UBL Bank, Mozang Chungi, Lahore, Punjab 54000","near UBL Bank, Mozang Chungi, Lahore",54000,Punjab,4237110100,,31.5600908,74.3129934
Hotel,Shelton Hotel,"F785+R37, J 3 Block Block J 3 Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,4235957400,,31.467047,74.2576825
Hotel,Hotel Days INN One,"R-9, GCP, Cooperative Housing Society, Near Shaukat Khanum Hospital Rd, Johar Town, Lahore, 54782","GCP, Cooperative Housing Society, Near Shaukat Khanum Hospital Rd, Johar Town",54782,Punjab,3076822969,,31.4506046,74.268823
Hotel,Hotel One,"237 â€“A/3 Gurumangat Rd, Block A3 Block A 3 Gulberg III, Lahore, Punjab 54000","Block A3 Block A 3 Gulberg III, Lahore",54000,Punjab,,,31.5030022,74.3570633
Hotel,"Block A 1 PGECHS, Lahore, Punjab 54770","Block A 1 PGECHS, Lahore, Punjab",Lahore,,Punjab,,,31.4434036,74.2899324
Hotel,"Block R Phase 2 Johar Town, Lahore, Punjab 54782","Block R Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,,,31.4598617,74.2714063
Hotel,Hajvery inn Hotel Mozang,"Mozang Rd, opposite total petrol pumpØŒ Mozang Chungi, Lahore, Punjab 54000","opposite total petrol pumpØŒ Mozang Chungi, Lahore",54000,Punjab,3344770302,,31.5578177,74.3160779
Hotel,Hotel Holiday,"15 C Zarrar Shaheed Road, Guldasht Town, Lahore, Punjab",Lahore,,Punjab,4236630909,,31.543413,74.4236883
Hotel,Hotel Beverly Inn Lahore,"Airport Rd, near Metro Cash  Carry, Eden Avenue Extension Eden Avenue, Lahore, Punjab 54000","near Metro Cash  Carry, Eden Avenue Extension Eden Avenue, Lahore",54000,Punjab,3454826093,,31.4992125,74.4181146
Hotel,Seven Star Motel,"G9Q5+7JW, Mall Rd, oppositie lahore Gymkhana club, Cantonment, Wapda Officers Colony Upper Mall Scheme, Lahore, Punjab",Lahore,,Punjab,3234202000,,31.5382356,74.359088
Hotel,Smart Apartments  Hotel,"1 Allauddin Rd, Lahore, 54000",Lahore,,Punjab,3248455888,,31.5266426,74.3618508
Hotel,Ashiana Hotel,"5-Larex, Near Lahore Cantt. Railway StationØŒ Lahore, Punjab",Lahore,,Punjab,4236654611,,31.532232,74.3614947
Hotel,Lahore Continental Hotel,"70, Commercial Area, 71 Masood Anwari Rd, Cavalry Ground, Lahore, Punjab 44000","Commercial Area, 71 Masood Anwari Rd, Cavalry Ground, Lahore",44000,Punjab,4236670618,lahorecontinentalhotel@yahoo.com,31.5014376,74.3640417
Hotel,Midland Hotel,"H924+GVF, Street 1, Upper Mall Scheme, Lahore, Punjab",Lahore,,Punjab,3213318080,,31.5513132,74.3571564
Hotel,Hotel Noor Plaza,"H924+9WG, Street 1, Upper Mall Scheme, Lahore, Punjab",Lahore,,Punjab,3023288885,,31.550943,74.3573148
Hotel,"Askari X, Lahore, Punjab 54810","Askari X, Lahore, Punjab",Lahore,,Punjab,,,31.5384751,74.4130945
Hotel,Safari Hotel Mall Road,"100c Anand Rd, Upper Mall Scheme, Lahore, Punjab 54810","Upper Mall Scheme, Lahore",54810,Punjab,3364000649,,31.54069,74.356208
Hotel,Comfort Inn,"16, Block C Gulberg 2, Lahore, Punjab",Lahore,,Punjab,3217950565,,31.5211811,74.3396987
Hotel,Hotel Pak Inn One,"Band Rd, opposite Sky ways, Babu Sabu Lahore, Punjab 54000","opposite Sky ways, Babu Sabu Lahore",54000,Punjab,3046308584,abbasgujjar19960@gmail.com,31.5369412,74.2723172
Hotel,A.K Hotel,"Australia BuildingØŒ McLeod Rd, behind Australia MosqueØŒ Lahore, 54000",Lahore,,Punjab,4237381501,,31.5762836,74.3325751
Hotel,New Capital Hotel,"93/2/1, Brandreth Rd, Garhi Shahu, Lahore, Punjab 54000","Brandreth Rd, Garhi Shahu, Lahore",54000,Punjab,,,31.5756642,74.3330961
Hotel,Hotel a one,"H8GM+5H4, Brandreth Rd, Station Garhi Shahu, Lahore, Punjab 54000","Brandreth Rd, Station Garhi Shahu, Lahore",54000,Punjab,,,31.5753826,74.3339407
Hotel,New Paradise Hotel,"71 Brandreth Rd, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,3244178322,,31.5754702,74.3314664
Hotel,Shalimar Hotel,"H89H+V59 hotel chock, Qila Gujjar Singh, Lahore, Punjab 54000","Qila Gujjar Singh, Lahore",54000,Punjab,,,31.5696613,74.3279797
Hotel,Al safina Hotel,"6 Montgomery Rd, Montgomery Park Garhi Shahu, Lahore, Punjab 54000","Montgomery Park Garhi Shahu, Lahore",54000,Punjab,3218806587,,31.5648318,74.3265213
Hotel,Hotel Sanai,"1 Abbott Road, Montgomery Park Qila Gujjar Singh, Lahore, Punjab 54600","Montgomery Park Qila Gujjar Singh, Lahore",54600,Punjab,3021463707,sanaihotellhr@gmail.com,31.5668596,74.3262722
Hotel,"Lahore, Punjab 54900","Lahore, Punjab",Lahore,,Punjab,,,31.5872532,74.3414766
Hotel,Al-Nazir Hotel  Restaurant,"H8H9+M3V, Walled City of Lahore, Lahore, Punjab 54000","Walled City of Lahore, Lahore",54000,Punjab,4237377374,,31.5792492,74.317685
